twitter,instagram,facebook,snapchat,youtube,whatsapp,pinterest,twitter_usage,instagram_usage,facebook_usage,snapchat_usage,youtube_usage,books,age,education
2.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,3.0,3.0,1.0,33,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,5.0,76,98
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,99,5
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,3.0,,,2.0,60,5
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,,2.0,6.0,55,4
1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,,1.0,,3.0,18.0,58,7
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,,5.0,3.0,99,5
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,2.0,,4.0,2.0,72,6
,,,,,,,,,,,,3.0,58,1
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,2.0,,4.0,97.0,68,6
1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,3.0,,4.0,5.0,65,7
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,5.0,,3.0,8.0,63,6
,,,,,,,,,,,,6.0,88,7
1.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,,1.0,,4.0,3.0,64,6
2.0,2.0,1.0,2.0,2.0,2.0,1.0,,,5.0,,,98.0,40,7
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,12.0,50,4
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,67,4
2.0,2.0,1.0,1.0,1.0,2.0,8.0,,,5.0,5.0,3.0,1.0,30,3
,,,,,,,,,,,,,84,3
2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,1.0,,43,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,61,5
2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,1.0,,68,3
2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,1.0,,67,4
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,4.0,25,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,1.0,79,1
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,1.0,12.0,99,99
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,2.0,35.0,69,6
1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,,,2.0,2.0,86,6
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,3.0,,,3.0,50,7
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,3.0,1.0,48,5
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,12.0,89,4
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,12.0,75,6
2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,3.0,,3.0,3.0,37,7
2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,3.0,,5.0,2.0,65,3
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,3.0,6.0,65,6
1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,5.0,1.0,,5.0,40.0,49,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,10.0,99,6
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,5.0,,,4.0,63,5
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,2.0,12.0,53,5
2.0,1.0,1.0,1.0,1.0,1.0,2.0,,4.0,3.0,4.0,4.0,,57,3
1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,5.0,1.0,,4.0,12.0,34,6
2.0,2.0,1.0,1.0,1.0,2.0,2.0,,,1.0,5.0,5.0,,53,4
2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,1.0,60,5
1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,3.0,20.0,52,5
1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,,3.0,52.0,78,8
1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,,1.0,2.0,10.0,18,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,97.0,82,3
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,3.0,35.0,70,6
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,5.0,,4.0,5.0,55,5
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,2.0,,3.0,12.0,74,4
,,,,,,,,,,,,15.0,87,8
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,2.0,,5.0,7.0,57,7
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,8.0,36,5
,,,,,,,,,,,,,55,3
1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,,4.0,5.0,,12.0,90,5
,,,,,,,,,,,,,95,4
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,5.0,,3.0,,74,7
,,,,,,,,,,,,98.0,74,1
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,,70,4
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,5.0,,5.0,1.0,64,4
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,2.0,,2.0,,62,3
2.0,2.0,1.0,1.0,1.0,2.0,2.0,,,3.0,5.0,5.0,2.0,54,5
,,,,,,,,,,,,22.0,79,4
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,12.0,70,3
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,5.0,10.0,73,2
2.0,1.0,1.0,2.0,1.0,1.0,2.0,,2.0,1.0,,3.0,3.0,47,7
2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,2.0,2.0,2.0,3.0,61,7
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,5.0,97.0,69,8
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,98.0,60,4
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,50.0,72,5
2.0,1.0,1.0,2.0,1.0,2.0,2.0,,1.0,1.0,,2.0,5.0,30,3
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,4.0,,1.0,12.0,72,4
1.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,,3.0,,3.0,8.0,67,6
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,3.0,,5.0,24.0,60,8
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,71,2
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,3.0,,,36.0,64,7
2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,3.0,36.0,80,6
1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,,2.0,12.0,68,7
2.0,2.0,1.0,1.0,2.0,2.0,2.0,,,2.0,5.0,,,68,4
2.0,1.0,1.0,1.0,1.0,2.0,1.0,,2.0,3.0,1.0,2.0,2.0,20,4
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,3.0,67,4
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,5.0,,3.0,8.0,60,6
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,1.0,,,,66,5
2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,3.0,6.0,57,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,12.0,57,3
2.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,5.0,6.0,43,3
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,2.0,,5.0,12.0,68,6
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,2.0,20.0,43,3
1.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,,3.0,,1.0,97.0,36,6
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,5.0,,3.0,30.0,63,8
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,3.0,39,3
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,1.0,,,,68,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,91,3
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,5.0,,5.0,5.0,80,3
1.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,,2.0,,3.0,4.0,63,6
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,1.0,20.0,46,5
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,2.0,,1.0,1.0,35,6
1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,,2.0,6.0,46,8
1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,4.0,,5.0,3.0,99,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,89,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,3.0,3.0,25.0,44,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,57,3
2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,12.0,81,5
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,1.0,10.0,32,4
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,12.0,83,6
,,,,,,,,,,,,,77,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,55,3
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,4.0,,2.0,19.0,69,7
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,2.0,,99,4
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,3.0,60,5
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,,5.0,4.0,63,8
,,,,,,,,,,,,12.0,91,3
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,,4.0,6.0,56,6
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,4.0,10.0,61,5
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,3.0,,3.0,99.0,67,7
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,1.0,50.0,65,7
,,,,,,,,,,,,97.0,59,7
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,1.0,3.0,39,6
1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,,1.0,,3.0,3.0,61,4
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,12.0,77,4
,,,,,,,,,,,,,79,2
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,8.0,72,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,1.0,83,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,1.0,75,6
,,,,,,,,,,,,10.0,71,6
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,4.0,50.0,70,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,88,3
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,2.0,,5.0,99.0,47,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,10.0,62,6
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,1.0,,,97.0,85,4
1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,96.0,61,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,77,3
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,3.0,79,6
2.0,1.0,1.0,2.0,2.0,2.0,2.0,,1.0,1.0,,,,99,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,6.0,79,6
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,2.0,12.0,56,6
1.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,,1.0,,3.0,70.0,67,8
2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,3.0,,5.0,4.0,99,6
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,4.0,,1.0,10.0,45,5
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,15.0,87,5
2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,,,,66,1
1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,,3.0,,2.0,12.0,59,8
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,3.0,,5.0,20.0,67,8
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,85,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,15.0,33,6
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,2.0,,3.0,24.0,50,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,1.0,88,5
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,5.0,97.0,82,7
1.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,,4.0,,4.0,2.0,31,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,82,7
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,4.0,70,4
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,2.0,,2.0,12.0,56,1
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,,3.0,4.0,50,8
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,47,7
,,,,,,,,,,,,1.0,99,99
2.0,2.0,1.0,2.0,1.0,8.0,8.0,,,1.0,,2.0,6.0,43,6
2.0,1.0,1.0,2.0,1.0,2.0,2.0,,3.0,2.0,,3.0,,75,3
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,,5.0,20.0,82,6
2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,2.0,,3.0,2.0,50,6
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,2.0,12.0,60,6
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,4.0,20.0,47,6
1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,,1.0,,66,99
2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,2.0,,1.0,96.0,68,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,1.0,74,8
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,70,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,4.0,6.0,73,4
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,5.0,,5.0,97.0,69,5
,,,,,,,,,,,,99.0,84,5
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,75,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,80,4
2.0,1.0,1.0,1.0,1.0,2.0,1.0,,4.0,1.0,8.0,1.0,40.0,45,6
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,54,6
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,3.0,12.0,78,7
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,2.0,,1.0,4.0,33,4
2.0,2.0,1.0,2.0,1.0,1.0,2.0,,,2.0,,5.0,20.0,40,8
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,4.0,2.0,60,6
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,5.0,5.0,12.0,40,8
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,5.0,3.0,53,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,68,5
,,,,,,,,,,,,99.0,99,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,99.0,99,99
2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,1.0,3.0,99,6
2.0,1.0,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,5.0,23,3
2.0,2.0,8.0,2.0,2.0,2.0,2.0,,,,,,98.0,78,2
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,4.0,63,6
,,,,,,,,,,,,,62,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,4.0,60,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,10.0,82,3
,,,,,,,,,,,,50.0,71,1
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,77,5
2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,1.0,2.0,2.0,,37,1
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,98.0,88,3
1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,,3.0,,3.0,2.0,62,7
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,2.0,,3.0,40.0,65,6
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,,4.0,12.0,57,6
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,5.0,,5.0,8.0,55,7
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,1.0,,,,70,8
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,2.0,,4.0,30.0,77,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,6.0,84,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,61,4
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,96.0,66,4
2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,3.0,9.0,77,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,50.0,61,7
1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,3.0,5.0,3.0,24.0,34,7
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,10.0,73,5
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,2.0,17.0,28,3
1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,1.0,5.0,1.0,,40,5
1.0,1.0,1.0,2.0,1.0,8.0,8.0,3.0,2.0,3.0,,5.0,,38,4
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,2.0,54,3
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,12.0,48,6
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,,66,1
,,,,,,,,,,,,,73,2
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,3.0,77,3
2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,4.0,,1.0,30.0,55,6
1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,,1.0,96.0,48,3
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,5.0,,,1.0,81,2
1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,4.0,,3.0,4.0,51,8
2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,4.0,,99,5
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,,3.0,10.0,43,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,25.0,60,4
,,,,,,,,,,,,,92,8
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,2.0,12.0,66,6
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,2.0,,3.0,24.0,29,3
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,2.0,14.0,99,6
2.0,1.0,1.0,2.0,1.0,2.0,1.0,,3.0,2.0,,3.0,36.0,66,7
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,3.0,78,4
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,4.0,,5.0,25.0,75,3
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,3.0,,4.0,3.0,47,8
2.0,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,,3.0,1.0,60.0,30,4
2.0,1.0,1.0,2.0,1.0,2.0,1.0,,3.0,1.0,,3.0,12.0,48,7
2.0,1.0,1.0,1.0,2.0,2.0,2.0,,3.0,2.0,3.0,,3.0,55,5
,,,,,,,,,,,,8.0,90,7
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,,77,4
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,3.0,84,4
2.0,1.0,1.0,2.0,1.0,2.0,1.0,,3.0,1.0,,3.0,,67,7
,,,,,,,,,,,,2.0,42,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,40.0,88,3
2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,5.0,97.0,68,7
,,,,,,,,,,,,,70,1
1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,60,6
,,,,,,,,,,,,,79,5
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,1.0,,2.0,,60,3
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,5.0,12.0,62,8
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,2.0,62,5
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,3.0,,,,83,2
2.0,2.0,1.0,2.0,2.0,1.0,2.0,,,1.0,,,,57,4
,,,,,,,,,,,,6.0,25,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,70,3
1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,,3.0,10.0,62,4
,,,,,,,,,,,,98.0,48,1
1.0,2.0,1.0,1.0,2.0,2.0,1.0,8.0,,8.0,5.0,,,97,99
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,63,5
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,4.0,,76,7
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,5.0,,1.0,15.0,99,7
1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,32.0,50,8
1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,56,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,3.0,59,4
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,60,3
2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,4.0,,3.0,,20,3
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,4.0,73.0,37,3
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,3.0,,,2.0,63,6
2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,,,5.0,62,4
2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,3.0,10.0,45,6
2.0,2.0,1.0,2.0,2.0,2.0,1.0,,,1.0,,,2.0,58,3
2.0,1.0,1.0,2.0,1.0,1.0,1.0,,4.0,1.0,,1.0,3.0,46,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,5.0,22,3
1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,,2.0,,,,46,3
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,2.0,,2.0,15.0,64,8
1.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,,3.0,,3.0,,80,7
2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,2.0,,70,3
1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,,1.0,2.0,74,7
,,,,,,,,,,,,,68,5
2.0,2.0,1.0,1.0,2.0,2.0,2.0,,,1.0,3.0,,,54,3
2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,2.0,1.0,1.0,4.0,22,4
2.0,1.0,1.0,2.0,1.0,2.0,1.0,,5.0,2.0,,3.0,97.0,67,3
2.0,2.0,1.0,1.0,1.0,2.0,2.0,,,1.0,4.0,1.0,,62,6
2.0,1.0,1.0,2.0,2.0,2.0,2.0,,3.0,1.0,,,12.0,66,3
,,,,,,,,,,,,60.0,74,3
,,,,,,,,,,,,4.0,73,3
1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,,3.0,4.0,68,4
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,3.0,,,3.0,69,5
,,,,,,,,,,,,,99,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,96.0,73,5
1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,3.0,1.0,2.0,3.0,3.0,61,7
2.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,,29,2
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,54,2
1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,1.0,,1.0,3.0,78,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,6.0,80,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,3.0,72,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,10.0,65,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,96.0,80,6
2.0,1.0,1.0,2.0,1.0,2.0,1.0,,2.0,1.0,,3.0,12.0,71,6
1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,4.0,4.0,4.0,52,6
1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,5.0,3.0,,3.0,7.0,66,4
2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,3.0,,,8.0,71,6
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,4.0,25.0,46,7
,,,,,,,,,,,,35.0,93,3
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,4.0,,55,6
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,67,8
2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,1.0,,3.0,36.0,66,3
2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,15.0,68,6
1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,,3.0,20.0,83,4
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,3.0,30.0,19,3
2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,1.0,4.0,70,6
